Location,Gender,Product
"Hyderabad, Sindh",Female,UnStitched Female Clothes
Rahim Yar Khan,Female,UnStitched Female Clothes
"Dammam, Saudi Arabia",Male,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
"Rawalpindi, Pakistan",Female,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
"Gujranwala, Pakistan",Female,UnStitched Female Clothes
Bahawalpur,Female,UnStitched Female Clothes
"Jhang Sadar, Punjab, Pakistan",Male,UnStitched Female Clothes
"Dubai, United Arab Emirates",Male,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Lahore, Pakistan",Male,UnStitched Female Clothes
Faisalabad,Female,UnStitched Female Clothes
"Quetta, Pakistan",Female,UnStitched Female Clothes
"Harbin, China",Male,UnStitched Female Clothes
Layyah,Male,UnStitched Female Clothes
Rahim Yar Khan,Male,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"New Delhi, India",Male,UnStitched Female Clothes
Sheikhupura,Male,UnStitched Female Clothes
"Karachi, Pakistan",Male,UnStitched Female Clothes
"Hyderabad, Sindh",Female,UnStitched Female Clothes
Gujrat,Female,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Karachi, Pakistan",Male,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
"Rampur, Punjab, India",Male,UnStitched Female Clothes
"Ahmedabad, India",Female,UnStitched Female Clothes
"Abuja, Nigeria",Female,UnStitched Female Clothes
"Dubai, United Arab Emirates",Female,UnStitched Female Clothes
Rahim Yar Khan,Male,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
Faisalabad,Female,UnStitched Female Clothes
"Lahore, Pakistan",Male,UnStitched Female Clothes
Sargodha,Female,UnStitched Female Clothes
"Islamabad, Pakistan",Female,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
"Sukkur, Sindh",Female,UnStitched Female Clothes
"Rawalpindi, Pakistan",Male,UnStitched Female Clothes
"Karachi, Pakistan",Male,UnStitched Female Clothes
Bahawalpur,Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Hampton, London, United Kingdom",Female,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
"Haripur, Pakistan",Female,UnStitched Female Clothes
"Kacha Gojra, Punjab, Pakistan",Male,UnStitched Female Clothes
"Kacha Gojra, Punjab, Pakistan",Female,UnStitched Female Clothes
Faisalabad,Female,UnStitched Female Clothes
Faisalabad,Female,UnStitched Female Clothes
"Sialkot, Punjab",Female,UnStitched Female Clothes
"London, United Kingdom",Male,UnStitched Female Clothes
Faisalabad,Female,UnStitched Female Clothes
Taunsa,Female,UnStitched Female Clothes
"Swat, Pakistan",Female,UnStitched Female Clothes
"Peshawar, Pakistan",Female,UnStitched Female Clothes
"Quetta, Pakistan",Female,UnStitched Female Clothes
"Quetta, Pakistan",Female,UnStitched Female Clothes
Gujrat,Female,UnStitched Female Clothes
Moshi,Female,UnStitched Female Clothes
"Wah, Pakistan",Female,UnStitched Female Clothes
"Kingston, Jamaica",Female,UnStitched Female Clothes
Sargodha,Female,UnStitched Female Clothes
Dera Ghazi Khan,Male,UnStitched Female Clothes
Faisalabad,Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
Thuwal,Female,UnStitched Female Clothes
"Quetta, Pakistan",Female,UnStitched Female Clothes
"Sialkot, Punjab",Female,UnStitched Female Clothes
"Quetta, Pakistan",Male,UnStitched Female Clothes
"Ranipur, Pakistan",Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Kohat, Pakistan",Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Riyadh, Saudi Arabia",Male,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
"Quetta, Pakistan",Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
Al Ajman,Female,UnStitched Female Clothes
Sheikhupura,Female,UnStitched Female Clothes
Sargodha,Female,UnStitched Female Clothes
"Khairpur Lines, Sindh, Pakistan",Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
"Rawalpindi, Pakistan",Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Peshawar, Pakistan",Female,UnStitched Female Clothes
"Karachi, Pakistan",Male,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
"Jeddah, Saudi Arabia",Female,UnStitched Female Clothes
"Larkana Lines, Sindh, Pakistan",Female,UnStitched Female Clothes
Multan,Male,UnStitched Female Clothes
"Shakargarr, Punjab, Pakistan",Female,UnStitched Female Clothes
"Hyderabad, Sindh",Female,UnStitched Female Clothes
"Sahiwal, Punjab, Pakistan",Female,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
"Lahore, Pakistan",Female,UnStitched Female Clothes
Al Ajman,Female,UnStitched Female Clothes
"Karachi, Pakistan",Female,UnStitched Female Clothes
"Shikarpur, Pakistan",Female,UnStitched Female Clothes
"Manama, Bahrain",Female,UnStitched Female Clothes
"Larkana Lines, Sindh, Pakistan",Female,UnStitched Female Clothes
Tando Jam,Male,UnStitched Female Clothes
