Location,Gender,Product,location_code,gender_code,product_code
"Hyderabad, Sindh",Female,UnStitched Female Clothes,135,0,14
Rahim Yar Khan,Female,UnStitched Female Clothes,303,0,14
"Dammam, Saudi Arabia",Male,UnStitched Female Clothes,80,1,14
"Lahore, Pakistan",Female,UnStitched Female Clothes,200,0,14
"Rawalpindi, Pakistan",Female,UnStitched Female Clothes,312,0,14
"Lahore, Pakistan",Female,UnStitched Female Clothes,200,0,14
"Gujranwala, Pakistan",Female,UnStitched Female Clothes,108,0,14
Bahawalpur,Female,UnStitched Female Clothes,32,0,14
"Jhang Sadar, Punjab, Pakistan",Male,UnStitched Female Clothes,151,1,14
"Dubai, United Arab Emirates",Male,UnStitched Female Clothes,93,1,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"Lahore, Pakistan",Male,UnStitched Female Clothes,200,1,14
Faisalabad,Female,UnStitched Female Clothes,99,0,14
"Quetta, Pakistan",Female,UnStitched Female Clothes,302,0,14
"Harbin, China",Male,UnStitched Female Clothes,118,1,14
Layyah,Male,UnStitched Female Clothes,206,1,14
Rahim Yar Khan,Male,UnStitched Female Clothes,303,1,14
"Lahore, Pakistan",Female,UnStitched Female Clothes,200,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"New Delhi, India",Male,UnStitched Female Clothes,266,1,14
Sheikhupura,Male,UnStitched Female Clothes,334,1,14
"Karachi, Pakistan",Male,UnStitched Female Clothes,166,1,14
"Hyderabad, Sindh",Female,UnStitched Female Clothes,135,0,14
Gujrat,Female,UnStitched Female Clothes,109,0,14
"Lahore, Pakistan",Female,UnStitched Female Clothes,200,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"Karachi, Pakistan",Male,UnStitched Female Clothes,166,1,14
"Lahore, Pakistan",Female,UnStitched Female Clothes,200,0,14
"Rampur, Punjab, India",Male,UnStitched Female Clothes,308,1,14
"Ahmedabad, India",Female,UnStitched Female Clothes,5,0,14
"Abuja, Nigeria",Female,UnStitched Female Clothes,2,0,14
"Dubai, United Arab Emirates",Female,UnStitched Female Clothes,93,0,14
Rahim Yar Khan,Male,UnStitched Female Clothes,303,1,14
"Lahore, Pakistan",Female,UnStitched Female Clothes,200,0,14
Faisalabad,Female,UnStitched Female Clothes,99,0,14
"Lahore, Pakistan",Male,UnStitched Female Clothes,200,1,14
Sargodha,Female,UnStitched Female Clothes,323,0,14
"Islamabad, Pakistan",Female,UnStitched Female Clothes,141,0,14
"Lahore, Pakistan",Female,UnStitched Female Clothes,200,0,14
"Sukkur, Sindh",Female,UnStitched Female Clothes,341,0,14
"Rawalpindi, Pakistan",Male,UnStitched Female Clothes,312,1,14
"Karachi, Pakistan",Male,UnStitched Female Clothes,166,1,14
Bahawalpur,Female,UnStitched Female Clothes,32,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"Hampton, London, United Kingdom",Female,UnStitched Female Clothes,117,0,14
"Lahore, Pakistan",Female,UnStitched Female Clothes,200,0,14
"Haripur, Pakistan",Female,UnStitched Female Clothes,119,0,14
"Kacha Gojra, Punjab, Pakistan",Male,UnStitched Female Clothes,155,1,14
"Kacha Gojra, Punjab, Pakistan",Female,UnStitched Female Clothes,155,0,14
Faisalabad,Female,UnStitched Female Clothes,99,0,14
Faisalabad,Female,UnStitched Female Clothes,99,0,14
"Sialkot, Punjab",Female,UnStitched Female Clothes,337,0,14
"London, United Kingdom",Male,UnStitched Female Clothes,211,1,14
Faisalabad,Female,UnStitched Female Clothes,99,0,14
Taunsa,Female,UnStitched Female Clothes,355,0,14
"Swat, Pakistan",Female,UnStitched Female Clothes,343,0,14
"Peshawar, Pakistan",Female,UnStitched Female Clothes,289,0,14
"Quetta, Pakistan",Female,UnStitched Female Clothes,302,0,14
"Quetta, Pakistan",Female,UnStitched Female Clothes,302,0,14
Gujrat,Female,UnStitched Female Clothes,109,0,14
Moshi,Female,UnStitched Female Clothes,246,0,14
"Wah, Pakistan",Female,UnStitched Female Clothes,377,0,14
"Kingston, Jamaica",Female,UnStitched Female Clothes,188,0,14
Sargodha,Female,UnStitched Female Clothes,323,0,14
Dera Ghazi Khan,Male,UnStitched Female Clothes,87,1,14
Faisalabad,Female,UnStitched Female Clothes,99,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
Thuwal,Female,UnStitched Female Clothes,359,0,14
"Quetta, Pakistan",Female,UnStitched Female Clothes,302,0,14
"Sialkot, Punjab",Female,UnStitched Female Clothes,337,0,14
"Quetta, Pakistan",Male,UnStitched Female Clothes,302,1,14
"Ranipur, Pakistan",Female,UnStitched Female Clothes,309,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"Kohat, Pakistan",Female,UnStitched Female Clothes,190,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"Riyadh, Saudi Arabia",Male,UnStitched Female Clothes,314,1,14
"Lahore, Pakistan",Female,UnStitched Female Clothes,200,0,14
"Quetta, Pakistan",Female,UnStitched Female Clothes,302,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
Al Ajman,Female,UnStitched Female Clothes,8,0,14
Sheikhupura,Female,UnStitched Female Clothes,334,0,14
Sargodha,Female,UnStitched Female Clothes,323,0,14
"Khairpur Lines, Sindh, Pakistan",Female,UnStitched Female Clothes,177,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"Lahore, Pakistan",Female,UnStitched Female Clothes,200,0,14
"Rawalpindi, Pakistan",Female,UnStitched Female Clothes,312,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"Peshawar, Pakistan",Female,UnStitched Female Clothes,289,0,14
"Karachi, Pakistan",Male,UnStitched Female Clothes,166,1,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"Lahore, Pakistan",Female,UnStitched Female Clothes,200,0,14
"Jeddah, Saudi Arabia",Female,UnStitched Female Clothes,150,0,14
"Larkana Lines, Sindh, Pakistan",Female,UnStitched Female Clothes,204,0,14
Multan,Male,UnStitched Female Clothes,248,1,14
"Shakargarr, Punjab, Pakistan",Female,UnStitched Female Clothes,330,0,14
"Hyderabad, Sindh",Female,UnStitched Female Clothes,135,0,14
"Sahiwal, Punjab, Pakistan",Female,UnStitched Female Clothes,318,0,14
"Lahore, Pakistan",Female,UnStitched Female Clothes,200,0,14
"Lahore, Pakistan",Female,UnStitched Female Clothes,200,0,14
Al Ajman,Female,UnStitched Female Clothes,8,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"Shikarpur, Pakistan",Female,UnStitched Female Clothes,336,0,14
"Manama, Bahrain",Female,UnStitched Female Clothes,216,0,14
"Larkana Lines, Sindh, Pakistan",Female,UnStitched Female Clothes,204,0,14
Tando Jam,Male,UnStitched Female Clothes,352,1,14
"Lahore, Pakistan",Female,UnStitched Female Clothes,200,0,14
"Lahore, Pakistan",Female,UnStitched Female Clothes,200,0,14
Faisalabad,Female,UnStitched Female Clothes,99,0,14
Höhr-Grenzhausen,Female,UnStitched Female Clothes,136,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"Riyadh, Saudi Arabia",Female,UnStitched Female Clothes,314,0,14
"Okara, Pakistan",Female,UnStitched Female Clothes,275,0,14
"Lahore, Pakistan",Female,UnStitched Female Clothes,200,0,14
"Rawalpindi, Pakistan",Female,UnStitched Female Clothes,312,0,14
"Hyderabad, Sindh",Female,UnStitched Female Clothes,135,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"Sahiwal, Punjab, Pakistan",Female,UnStitched Female Clothes,318,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
Larkana,Female,UnStitched Female Clothes,203,0,14
"Lahore, Pakistan",Female,UnStitched Female Clothes,200,0,14
"Lahore, Pakistan",Female,UnStitched Female Clothes,200,0,14
"Gujranwala, Pakistan",Female,UnStitched Female Clothes,108,0,14
"Lahore, Pakistan",Female,UnStitched Female Clothes,200,0,14
"Quetta, Pakistan",Female,UnStitched Female Clothes,302,0,14
Burewala,Female,UnStitched Female Clothes,56,0,14
"Muscat, Oman",Female,UnStitched Female Clothes,251,0,14
Rahim Yar Khan,Female,UnStitched Female Clothes,303,0,14
Mardan,Female,UnStitched Female Clothes,222,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"Sukkur, Sindh",Male,UnStitched Female Clothes,341,1,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"Islamabad, Pakistan",Female,UnStitched Female Clothes,141,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"Mullica Hill, New Jersey",Female,UnStitched Female Clothes,247,0,14
"Lahore, Pakistan",Female,UnStitched Female Clothes,200,0,14
"Lahore, Pakistan",Female,UnStitched Female Clothes,200,0,14
"Jeddah, Saudi Arabia",Male,UnStitched Female Clothes,150,1,14
"Bangalore, India",Female,UnStitched Female Clothes,39,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"Hyderabad Lines, Sindh, Pakistan",Female,UnStitched Female Clothes,134,0,14
"Peshawar, Pakistan",Female,UnStitched Female Clothes,289,0,14
"Sukkur Lines, Sindh, Pakistan",Male,UnStitched Female Clothes,340,1,14
Rahim Yar Khan,Female,UnStitched Female Clothes,303,0,14
"Rawalpindi, Pakistan",Female,UnStitched Female Clothes,312,0,14
"Dubai, United Arab Emirates",Female,UnStitched Female Clothes,93,0,14
"Peshawar, Pakistan",Female,UnStitched Female Clothes,289,0,14
"Lahore, Pakistan",Female,UnStitched Female Clothes,200,0,14
"Sukkur, Sindh",Female,UnStitched Female Clothes,341,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"Karachi, Pakistan",Female,UnStitched Female Clothes,166,0,14
"New York, New York",Female,UnStitched Female Clothes,267,0,14
Sargodha,Male,UnStitched Female Clothes,323,1,14
Sargodha,Female,UnStitched Female Clothes,323,0,14
"Lahore, Pakistan",Female,UnStitched Female Clothes,200,0,14
"Islamabad, Pakistan",Female,UnStitched Female Clothes,141,0,14
"Lahore, Pakistan",Female,UnStitched Female Clothes,200,0,14
